insertId,timestamp,logName,receiveTimestamp,labels.authorization.k8s.io/decision,resource.type,resource.labels.project_id,resource.labels.location,resource.labels.cluster_name,protoPayload.@type,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo,protoPayload.methodName,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,operation.id,operation.producer,operation.last,operation.first,anonymous_principal,timestamp__epoch_s,receiveTimestamp__epoch_s,callerIp_first_octet,logName__le,labels.authorization.k8s.io/decision__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le
consolidated_event_101_828822,2024-10-05 17:44:16+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-10-05 17:46:54+00:00,forbid,k8s_cluster,project123,us-central1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.19.40.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/services,k8s.io,0,OK,operation_101_315664,k8s.io,True,True,0,1728150256.0,1728150414.0,198.0,3,1,3,3,2,12,2
consolidated_event_111_348427,2024-05-10 00:38:38+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-05-10 00:42:01+00:00,forbid,k8s_cluster,project123,europe-west1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.19.246.139,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,global-protect/login.esp,k8s.io,7,"forbidden: User ""user@company.com"" cannot delete path ""global-protect/login.esp""",operation_111_134649,k8s.io,True,True,0,1715301518.0,1715301721.0,198.0,3,1,3,1,0,8,6
consolidated_event_121_934221,2024-04-10 00:54:44+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-04-10 00:57:50+00:00,forbid,k8s_cluster,project123,us-central1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/batch/v1/jobs', 'permission': 'io.k8s.post'}]",io.k8s.post,198.19.39.86,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/batch/v1/jobs,k8s.io,13,Internal error,operation_121_730866,k8s.io,True,True,0,1712710484.0,1712710670.0,198.0,3,1,3,3,0,13,6
consolidated_event_131_871239,2024-10-05 01:53:49+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-10-05 01:56:19+00:00,forbid,k8s_cluster,project123,asia-southeast1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.18.169.124,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,global-protect/login.esp,k8s.io,3,Invalid argument,operation_131_217191,k8s.io,True,True,0,1728093229.0,1728093379.0,198.0,3,1,3,0,5,8,7
consolidated_event_141_449703,2024-09-22 17:30:09+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-09-22 17:31:04+00:00,allow,k8s_cluster,project123,us-central1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'apis/rbac.authorization.k8s.io/v1/roles', 'permission': 'io.k8s.get'}]",io.k8s.get,198.18.36.89,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,13,Internal error,operation_141_471344,k8s.io,True,True,0,1727026209.0,1727026264.0,198.0,3,0,3,3,2,9,3
consolidated_event_151_185908,2024-12-19 03:28:07+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-12-19 03:29:23+00:00,forbid,k8s_cluster,project123,us-west1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/batch/v1/jobs', 'permission': 'io.k8s.put'}]",io.k8s.put,198.18.210.168,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/batch/v1/jobs,k8s.io,16,Permission denied,operation_151_805117,k8s.io,True,True,1,1734578887.0,1734578963.0,198.0,3,1,3,5,6,14,6
consolidated_event_161_271048,2024-07-08 13:46:40+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-08 13:50:24+00:00,forbid,k8s_cluster,project123,us-west1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/v1/pods', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.201.175,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/pods,k8s.io,13,Internal error,operation_161_338252,k8s.io,True,True,0,1720446400.0,1720446624.0,198.0,3,1,3,5,0,14,3
consolidated_event_171_654949,2024-09-29 09:33:29+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-09-29 09:33:58+00:00,forbid,k8s_cluster,project123,us-west1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.19.22.108,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/apps/v1/deployments,k8s.io,0,OK,operation_171_797725,k8s.io,True,True,0,1727602409.0,1727602438.0,198.0,3,1,3,5,5,12,1
consolidated_event_181_651886,2024-12-19 08:19:53+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-12-19 08:20:43+00:00,allow,k8s_cluster,project123,us-west1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.get'}]",io.k8s.get,198.19.186.157,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/apps/v1/deployments,k8s.io,13,Internal error,operation_181_877571,k8s.io,True,True,0,1734596393.0,1734596443.0,198.0,3,0,3,5,2,9,2
consolidated_event_191_986572,2024-08-19 06:55:48+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-08-19 06:57:23+00:00,allow,k8s_cluster,project123,europe-west1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/batch/v1/jobs', 'permission': 'io.k8s.post'}]",io.k8s.post,198.18.77.89,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,0,OK,operation_191_794039,k8s.io,True,True,1,1724050548.0,1724050643.0,198.0,3,0,3,1,6,13,1
consolidated_event_201_963987,2024-11-29 04:39:18+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-11-29 04:40:12+00:00,allow,k8s_cluster,project123,us-central1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.19.115.80,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,global-protect/login.esp,k8s.io,0,OK,operation_201_138729,k8s.io,True,True,0,1732855158.0,1732855212.0,198.0,3,0,3,3,2,12,6
consolidated_event_211_744670,2024-04-03 20:02:46+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-04-03 20:04:40+00:00,forbid,k8s_cluster,project123,us-west1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/batch/v1/jobs', 'permission': 'io.k8s.put'}]",io.k8s.put,198.18.226.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,7,"forbidden: User ""system:anonymous"" cannot put path ""apis/batch/v1/jobs""",operation_211_649487,k8s.io,True,True,1,1712174566.0,1712174680.0,198.0,3,1,3,5,4,14,2
consolidated_event_221_519720,2024-04-30 04:14:28+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-04-30 04:15:55+00:00,allow,k8s_cluster,project123,us-central1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.get'}]",io.k8s.get,198.19.210.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/apps/v1/deployments,k8s.io,16,Permission denied,operation_221_850614,k8s.io,True,True,0,1714450468.0,1714450555.0,198.0,3,0,3,3,5,9,1
consolidated_event_231_825922,2024-05-15 15:47:19+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-05-15 15:49:05+00:00,forbid,k8s_cluster,project123,asia-southeast1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.243.225,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/v1/services,k8s.io,7,"forbidden: User ""dev@company.com"" cannot put path ""apis/v1/services""",operation_231_903043,k8s.io,True,True,0,1715788039.0,1715788145.0,198.0,3,1,3,0,6,14,7
consolidated_event_241_548058,2024-01-05 15:36:18+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-01-05 15:39:01+00:00,forbid,k8s_cluster,project123,us-central1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.18.134.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",global-protect/login.esp,k8s.io,7,"forbidden: User ""user@company.com"" cannot patch path ""global-protect/login.esp""",operation_241_583637,k8s.io,True,True,0,1704468978.0,1704469141.0,198.0,3,1,3,3,4,12,3
consolidated_event_251_679863,2024-09-16 08:11:08+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-09-16 08:13:22+00:00,forbid,k8s_cluster,project123,us-central1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.20.7,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,operation_251_301122,k8s.io,True,True,0,1726474268.0,1726474402.0,198.0,3,1,3,3,5,14,7
consolidated_event_261_746890,2024-05-25 11:13:14+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-05-25 11:15:09+00:00,allow,k8s_cluster,project123,us-west1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.get'}]",io.k8s.get,198.18.15.157,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",global-protect/login.esp,k8s.io,3,Invalid argument,operation_261_196527,k8s.io,True,True,1,1716635594.0,1716635709.0,198.0,3,0,3,5,0,9,1
consolidated_event_271_819899,2024-11-22 19:12:13+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-11-22 19:14:59+00:00,allow,k8s_cluster,project123,us-west1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.post'}]",io.k8s.post,198.19.47.40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/networking.k8s.io/v1/networkpolicies,k8s.io,3,Invalid argument,operation_271_289448,k8s.io,True,True,0,1732302733.0,1732302899.0,198.0,3,0,3,5,5,13,1
consolidated_event_281_938757,2024-04-09 17:57:18+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-04-09 18:00:23+00:00,allow,k8s_cluster,project123,europe-west1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.167.115,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/services,k8s.io,16,Permission denied,operation_281_358763,k8s.io,True,True,1,1712685438.0,1712685623.0,198.0,3,0,3,1,4,14,1
consolidated_event_291_161530,2024-02-09 08:17:52+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-02-09 08:19:49+00:00,forbid,k8s_cluster,project123,us-west1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.get'}]",io.k8s.get,198.18.15.175,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,operation_291_843807,k8s.io,True,True,0,1707466672.0,1707466789.0,198.0,3,1,3,5,2,9,1
consolidated_event_301_963254,2024-02-25 07:32:24+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-02-25 07:36:40+00:00,allow,k8s_cluster,project123,asia-southeast1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.18.144.107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/apps/v1/deployments,k8s.io,7,"forbidden: User ""system:anonymous"" cannot delete path ""apis/apps/v1/deployments""",operation_301_140029,k8s.io,True,True,1,1708846344.0,1708846600.0,198.0,3,0,3,0,5,8,3
consolidated_event_311_927828,2024-01-06 04:48:26+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-01-06 04:49:58+00:00,forbid,k8s_cluster,project123,asia-southeast1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.put'}]",io.k8s.put,198.18.111.82,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,7,"forbidden: User ""system:anonymous"" cannot put path ""apis/networking.k8s.io/v1/networkpolicies""",operation_311_847305,k8s.io,True,True,1,1704516506.0,1704516598.0,198.0,3,1,3,0,5,14,3
consolidated_event_321_692407,2024-03-06 08:33:19+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-03-06 08:38:00+00:00,forbid,k8s_cluster,project123,asia-southeast1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.218.118,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/apps/v1/deployments,k8s.io,7,"forbidden: User ""service-account@company.iam.gserviceaccount.com"" cannot put path ""apis/apps/v1/deployments""",operation_321_540600,k8s.io,True,True,0,1709713999.0,1709714280.0,198.0,3,1,3,0,6,14,1
consolidated_event_331_937596,2024-10-17 04:52:29+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-10-17 04:55:01+00:00,allow,k8s_cluster,project123,asia-southeast1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.get'}]",io.k8s.get,198.19.84.166,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/v1/services,k8s.io,7,"forbidden: User ""admin@company.com"" cannot get path ""apis/v1/services""",operation_331_952400,k8s.io,True,True,0,1729140749.0,1729140901.0,198.0,3,0,3,0,6,9,7
consolidated_event_341_627272,2024-06-23 08:08:55+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-06-23 08:09:23+00:00,forbid,k8s_cluster,project123,us-central1,staging-cluster,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.19.144.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",global-protect/login.esp,k8s.io,3,Invalid argument,operation_341_971006,k8s.io,True,True,0,1719130135.0,1719130163.0,198.0,3,1,3,3,5,12,2
consolidated_event_351_965146,2024-01-12 02:43:23+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-01-12 02:46:02+00:00,forbid,k8s_cluster,project123,europe-west1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.2.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/apps/v1/deployments,k8s.io,16,Permission denied,operation_351_628168,k8s.io,True,True,0,1705027403.0,1705027562.0,198.0,3,1,3,1,6,14,3
consolidated_event_361_883976,2024-04-21 16:45:32+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-04-21 16:49:26+00:00,allow,k8s_cluster,project123,us-central1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.get'}]",io.k8s.get,198.19.115.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,operation_361_379226,k8s.io,True,True,0,1713717932.0,1713718166.0,198.0,3,0,3,3,2,9,3
consolidated_event_371_448309,2024-07-16 12:51:56+00:00,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-16 12:52:31+00:00,forbid,k8s_cluster,project123,us-central1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.put'}]",io.k8s.put,198.18.32.176,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/networking.k8s.io/v1/networkpolicies,k8s.io,3,Invalid argument,operation_371_926980,k8s.io,True,True,1,1721134316.0,1721134351.0,198.0,3,1,3,3,4,14,7
