protoPayload.status.code,anonymous_principal,timestamp__epoch_s,logName__le,labels.authorization.k8s.io/decision__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le,hour,dayofweek,is_weekend,timestamp_delay_s
16,0,1704305589.0,3,1,3,0,0,12,1,18,2,0,118.0
7,1,1713535629.0,3,1,3,3,5,8,3,14,4,0,145.0
0,1,1716802528.0,3,0,3,0,2,8,3,9,0,0,67.0
0,1,1716887298.0,3,1,3,1,4,14,1,9,1,0,89.0
13,0,1719742154.0,3,0,3,1,5,13,6,10,6,1,284.0
13,0,1706119326.0,3,0,3,0,4,8,7,18,2,0,97.0
3,0,1706148422.0,3,0,3,5,4,12,3,2,3,0,220.0
3,1,1723306037.0,3,1,3,1,0,9,7,16,5,1,126.0
16,0,1715772564.0,3,1,3,0,4,8,7,11,2,0,119.0
0,0,1735142439.0,3,0,3,5,6,14,3,16,2,0,243.0
16,0,1723794085.0,3,0,3,1,4,9,2,7,4,0,237.0
7,0,1727633815.0,3,1,3,3,5,12,3,18,6,1,187.0
13,1,1718902897.0,3,1,3,1,2,9,6,17,3,0,159.0
16,0,1705489134.0,3,1,3,5,4,8,2,10,2,0,208.0
3,0,1708517144.0,3,1,3,1,4,8,6,12,2,0,270.0
3,1,1711994169.0,3,0,3,3,4,8,6,17,0,0,251.0
16,0,1726490137.0,3,1,3,5,6,12,7,12,0,0,103.0
7,0,1735494704.0,3,0,3,0,6,13,6,17,6,1,137.0
13,0,1718002463.0,3,0,3,5,5,12,3,6,0,0,296.0
13,0,1721151805.0,3,0,3,1,2,13,2,17,1,0,130.0
3,0,1721069259.0,3,1,3,0,2,13,2,18,0,0,40.0
0,0,1708068374.0,3,0,3,5,2,12,7,7,4,0,117.0
0,0,1709975119.0,3,1,3,1,6,8,6,9,5,1,83.0
3,1,1706733968.0,3,0,3,0,0,14,3,20,2,0,194.0
3,0,1719223448.0,3,1,3,5,2,12,6,10,0,0,53.0
7,1,1712249732.0,3,0,3,0,5,8,1,16,3,0,248.0
16,0,1717891395.0,3,1,3,0,4,14,1,0,6,1,152.0
13,1,1721234401.0,3,0,3,3,5,9,7,16,2,0,118.0
16,1,1716508812.0,3,1,3,3,2,8,2,0,4,0,276.0
3,0,1712675894.0,3,1,3,3,5,12,1,15,1,0,108.0
16,1,1731069293.0,3,1,3,0,5,12,7,12,4,0,154.0
3,0,1732012213.0,3,1,3,5,4,12,3,10,1,0,27.0
3,0,1724487035.0,3,0,3,3,0,12,3,8,5,1,206.0
0,0,1726824345.0,3,1,3,5,6,14,3,9,4,0,41.0
3,0,1712264657.0,3,0,3,0,6,13,7,21,3,0,289.0
7,1,1728791367.0,3,0,3,0,0,9,3,3,6,1,257.0
16,0,1706116075.0,3,0,3,1,2,12,2,17,2,0,45.0
13,1,1729138956.0,3,0,3,0,6,8,7,4,3,0,274.0
16,0,1721144442.0,3,0,3,1,5,13,2,15,1,0,198.0
13,1,1719387183.0,3,0,3,0,5,13,7,7,2,0,253.0
16,1,1724662246.0,3,0,3,3,4,13,1,8,0,0,196.0
3,0,1721210675.0,3,1,3,5,4,8,2,10,2,0,11.0
16,1,1705984020.0,3,0,3,1,6,12,3,4,1,0,57.0
3,0,1732294138.0,3,1,3,0,4,13,7,16,4,0,55.0
0,0,1748885384.0,0,0,0,4,1,5,8,17,0,0,119.0
0,0,1743639601.0,1,0,1,5,6,3,8,0,3,0,121.0
0,0,1756814595.0,3,0,3,1,6,6,9,12,1,0,203.0
0,0,1737033621.0,3,0,3,4,3,3,9,13,3,0,125.0
0,0,1739712537.0,1,0,1,5,2,2,9,13,6,1,23.0
0,0,1762782558.0,1,0,1,2,3,1,8,13,0,0,227.0
0,0,1746392849.0,2,0,2,1,1,1,8,21,6,1,99.0
0,0,1738016006.0,2,0,2,3,2,3,8,22,0,0,7.0
0,0,1764643733.0,3,0,3,4,4,10,4,2,1,0,156.0
0,0,1738326878.0,2,0,2,5,3,11,4,12,4,0,162.0
0,0,1742195381.0,3,0,3,5,2,10,8,7,0,0,121.0
0,0,1764341458.0,0,0,0,3,2,2,4,14,4,0,236.0
0,0,1764131285.0,0,0,0,3,2,2,4,4,2,0,54.0
0,0,1743485971.0,1,0,1,0,4,2,9,5,1,0,171.0
0,0,1736072320.0,0,0,0,1,1,3,9,10,6,1,153.0
0,0,1745430756.0,0,0,0,2,5,3,4,17,2,0,14.0
0,0,1746504652.0,2,0,2,1,3,2,4,4,1,0,129.0
0,0,1772072613.0,0,0,0,3,3,10,4,2,3,0,234.0
0,0,1755174649.0,1,0,1,0,6,3,8,12,3,0,3.0
0,0,1765943099.0,2,0,2,0,1,6,8,3,2,0,170.0
0,0,1769361190.0,3,0,3,2,2,1,5,17,6,1,215.0
0,0,1748718351.0,0,0,0,3,6,2,9,19,5,1,153.0
0,0,1764577804.0,1,0,1,4,2,3,0,8,0,0,45.0
0,0,1751249180.0,3,0,3,2,6,2,8,2,0,0,62.0
0,0,1747390306.0,3,0,3,0,5,2,5,10,4,0,79.0
0,0,1748010887.0,3,0,3,3,1,1,9,14,4,0,41.0
0,0,1744933938.0,1,0,1,2,2,0,4,23,3,0,143.0
0,0,1771604453.0,0,0,0,1,6,3,5,16,4,0,69.0
0,0,1770132213.0,1,0,1,0,6,3,5,15,1,0,54.0
0,0,1751747983.0,1,0,1,0,4,6,8,20,5,1,154.0
0,0,1763760477.0,3,0,3,3,3,4,4,21,4,0,114.0
0,0,1765318479.0,3,0,3,2,4,6,0,22,1,0,37.0
0,0,1758744829.0,1,0,1,5,3,1,4,20,2,0,220.0
0,0,1767564053.0,2,0,2,4,4,3,4,22,6,1,63.0
0,0,1739356571.0,0,0,0,4,1,2,9,10,2,0,8.0
0,0,1767910110.0,0,0,0,4,1,2,4,22,3,0,186.0
0,0,1737422964.0,0,0,0,4,2,2,0,1,1,0,188.0
0,0,1756877164.0,1,0,1,2,6,6,4,5,2,0,69.0
0,0,1752395732.0,0,0,0,4,6,1,9,8,6,1,45.0
0,0,1750893056.0,3,0,3,1,4,1,4,23,2,0,172.0
0,0,1739599259.0,2,0,2,5,6,3,4,6,5,1,76.0
0,0,1741499632.0,2,0,2,0,3,4,4,5,6,1,56.0
0,0,1752831559.0,2,0,2,1,6,2,5,9,4,0,135.0
0,0,1763445616.0,3,0,3,3,6,6,5,6,1,0,64.0
0,0,1760335934.0,0,0,0,1,3,3,4,6,0,0,93.0
0,0,1743108849.0,0,0,0,0,6,2,4,20,3,0,77.0
0,0,1737339398.0,3,0,3,0,3,10,9,2,0,0,154.0
0,0,1757670821.0,0,0,0,3,5,1,5,9,4,0,42.0
0,0,1752767536.0,2,0,2,3,3,0,0,15,3,0,3.0
0,0,1764871876.0,1,0,1,3,2,1,0,18,3,0,185.0
0,0,1763314683.0,3,0,3,3,6,3,0,17,6,1,11.0
0,0,1736074116.0,0,0,0,1,6,3,8,10,6,1,47.0
0,0,1766612912.0,0,0,0,1,2,0,8,21,2,0,88.0
0,0,1757941320.0,0,0,0,2,2,1,4,13,0,0,148.0
0,0,1769013489.0,3,0,3,1,2,2,0,16,2,0,233.0
0,0,1757914012.0,3,0,3,2,3,2,8,5,0,0,226.0
0,0,1742131052.0,0,0,0,0,2,1,0,13,6,1,227.0
0,0,1768831701.0,0,0,0,2,5,5,9,14,0,0,222.0
0,0,1768511986.0,2,0,2,4,2,10,5,21,3,0,19.0
0,0,1767374595.0,0,0,0,4,6,11,5,17,4,0,209.0
7,0,1771714254.0,0,1,0,5,6,3,5,22,5,1,54.0
0,0,1751516182.0,3,0,3,1,6,5,9,4,3,0,35.0
0,0,1771162840.0,2,0,2,4,2,0,0,13,6,1,212.0
0,0,1759454217.0,0,0,0,1,1,2,8,1,4,0,116.0
7,0,1745862045.0,3,1,3,2,4,10,4,17,0,0,36.0
0,0,1753601949.0,3,0,3,2,1,1,4,7,6,1,192.0
0,0,1740679611.0,3,0,3,0,5,1,9,18,3,0,218.0
0,0,1736855170.0,3,0,3,1,6,3,8,11,1,0,172.0
7,0,1757984144.0,2,1,2,0,1,6,4,0,1,0,188.0
0,0,1761020009.0,3,0,3,2,4,2,8,4,1,0,28.0
7,0,1758547348.0,3,1,3,3,4,5,8,13,0,0,57.0
0,0,1746681352.0,0,0,0,0,5,1,8,5,3,0,214.0
0,0,1758432713.0,3,0,3,4,6,2,0,5,6,1,99.0
0,0,1764488038.0,3,0,3,1,4,2,5,7,6,1,2.0
0,0,1750558933.0,0,0,0,0,1,4,9,2,6,1,208.0
0,0,1769164021.0,1,0,1,5,6,3,0,10,4,0,7.0
0,0,1766636573.0,1,0,1,0,6,0,8,4,3,0,201.0
0,0,1755392998.0,2,0,2,0,3,0,5,1,6,1,103.0
0,0,1762259085.0,1,0,1,1,4,2,8,12,1,0,197.0
0,0,1739101642.0,3,0,3,3,6,3,0,11,6,1,84.0
0,0,1769136404.0,3,0,3,4,1,1,8,2,4,0,209.0
0,0,1765074424.0,1,0,1,1,6,3,4,2,6,1,20.0
0,0,1736821892.0,3,0,3,1,2,2,9,2,1,0,201.0
0,0,1742333639.0,2,0,2,0,6,5,4,21,1,0,134.0
0,0,1758678252.0,0,0,0,4,6,1,4,1,2,0,56.0
0,0,1760810715.0,1,0,1,4,5,5,5,18,5,1,51.0
0,0,1749684371.0,3,0,3,2,1,2,0,23,2,0,8.0
0,0,1739706545.0,3,0,3,3,3,3,8,11,6,1,33.0
0,0,1746657372.0,2,0,2,2,2,3,5,22,2,0,20.0
0,0,1770453591.0,3,0,3,3,5,1,0,8,5,1,234.0
0,0,1759064283.0,2,0,2,0,6,2,5,12,6,1,231.0
0,0,1765773914.0,2,0,2,0,4,3,9,4,0,0,70.0
0,0,1739458854.0,0,0,0,5,1,3,9,15,3,0,202.0
0,0,1754631691.0,2,0,2,3,6,15,8,5,4,0,146.0
0,0,1738223696.0,3,0,3,1,3,2,4,7,3,0,17.0
0,0,1771893185.0,3,0,3,2,5,3,0,0,1,0,54.0
0,0,1739084601.0,2,0,2,0,6,1,9,7,6,1,14.0
0,0,1743236868.0,0,0,0,4,3,4,9,8,5,1,36.0
0,0,1754672299.0,0,0,0,2,5,2,4,16,4,0,49.0
0,0,1760940595.0,2,0,2,5,1,10,4,6,0,0,157.0
0,0,1756535400.0,2,0,2,1,6,10,8,6,5,1,31.0
0,0,1741801874.0,1,0,1,4,5,2,9,17,2,0,48.0
0,0,1771539394.0,3,0,3,3,3,1,5,22,3,0,21.0
0,0,1757885354.0,2,0,2,3,6,10,9,21,6,1,141.0
0,0,1738024138.0,0,0,0,4,3,11,8,0,1,0,129.0
0,0,1742741637.0,1,0,1,2,3,2,5,14,6,1,121.0
0,0,1735714045.0,0,0,0,3,6,2,5,6,2,0,102.0
0,0,1746248222.0,1,0,1,1,5,6,9,4,5,1,86.0
0,0,1737009295.0,1,0,1,4,5,3,8,6,3,0,66.0
0,0,1738803853.0,3,0,3,4,5,2,9,1,3,0,60.0
0,0,1740851050.0,2,0,2,4,4,3,5,17,5,1,235.0
7,0,1761869337.0,2,1,2,2,4,0,9,0,4,0,2.0
0,0,1744063631.0,3,0,3,2,5,1,8,22,0,0,53.0
0,0,1756717855.0,2,0,2,1,6,5,8,9,0,0,230.0
0,0,1736923750.0,3,0,3,0,4,0,5,6,2,0,162.0
0,0,1746595267.0,3,0,3,0,2,2,4,5,2,0,8.0
0,0,1747610279.0,3,0,3,1,6,3,9,23,6,1,141.0
0,0,1752109704.0,2,0,2,3,6,3,9,1,3,0,80.0
0,0,1764482531.0,3,0,3,1,5,6,4,6,6,1,216.0
0,0,1768519761.0,2,0,2,0,3,4,5,23,3,0,212.0
0,0,1768616611.0,0,0,0,4,6,6,0,2,5,1,155.0
0,0,1757634619.0,0,0,0,3,6,5,5,23,3,0,213.0
0,0,1770672741.0,0,0,0,4,6,0,8,21,0,0,228.0
0,0,1770002774.0,1,0,1,5,3,3,9,3,0,0,239.0
0,0,1747728331.0,3,0,3,3,2,3,4,8,1,0,226.0
7,0,1752412160.0,0,1,0,2,4,2,9,13,6,1,108.0
0,0,1740320881.0,1,0,1,1,3,1,5,14,6,1,227.0
0,0,1764877325.0,3,0,3,1,2,15,5,19,3,0,14.0
0,0,1741563003.0,0,0,0,2,4,2,8,23,6,1,175.0
0,0,1736950723.0,0,0,0,2,6,10,8,14,2,0,123.0
0,0,1736084600.0,2,0,2,0,3,2,5,13,6,1,84.0
0,0,1768429707.0,0,0,0,2,6,11,4,22,2,0,213.0
0,0,1753010963.0,2,0,2,4,2,2,9,11,6,1,120.0
7,0,1741319119.0,3,1,3,2,6,10,8,3,4,0,163.0
0,0,1762149138.0,1,0,1,3,2,2,8,5,0,0,62.0
0,0,1758111815.0,0,0,0,0,6,2,8,12,2,0,132.0
0,0,1744083176.0,3,0,3,0,3,2,5,3,1,0,57.0
0,0,1758727239.0,2,0,2,1,5,1,9,15,2,0,118.0
0,0,1739843481.0,1,0,1,5,3,11,0,1,1,0,47.0
0,0,1756076371.0,1,0,1,5,3,2,5,22,6,1,92.0
7,0,1742367217.0,2,1,2,1,6,0,4,6,2,0,148.0
0,0,1758939995.0,3,0,3,0,1,10,8,2,5,1,120.0
0,0,1759120841.0,2,0,2,0,5,6,5,4,0,0,219.0
0,0,1757180796.0,2,0,2,1,2,1,0,17,5,1,176.0
0,0,1750427918.0,1,0,1,4,3,1,0,13,4,0,70.0
0,0,1771016812.0,0,0,0,4,1,2,8,21,4,0,239.0
0,0,1763084253.0,2,0,2,2,6,1,0,1,4,0,120.0
0,0,1750820296.0,0,0,0,0,5,1,4,2,2,0,12.0
0,0,1744159880.0,1,0,1,2,4,3,8,0,2,0,7.0
0,0,1750441812.0,3,0,3,3,3,4,8,17,4,0,162.0
0,0,1745920126.0,1,0,1,3,5,10,8,9,1,0,176.0
0,0,1739998443.0,3,0,3,5,6,0,8,20,2,0,134.0
0,0,1754872056.0,3,0,3,3,3,6,5,0,0,0,209.0
0,0,1745390107.0,3,0,3,1,5,1,0,6,2,0,173.0
0,0,1741915570.0,0,0,0,1,5,2,5,1,4,0,112.0
0,0,1750182820.0,3,0,3,0,6,6,5,17,1,0,178.0
0,0,1764668621.0,3,0,3,2,4,2,5,9,1,0,121.0
0,0,1754219612.0,0,0,0,1,5,10,9,11,6,1,222.0
0,0,1760735020.0,2,0,2,3,1,10,8,21,4,0,87.0
0,0,1748252759.0,3,0,3,2,5,5,0,9,0,0,209.0
0,0,1740150203.0,2,0,2,0,1,6,4,15,4,0,41.0
0,0,1746346245.0,1,0,1,1,5,2,5,8,6,1,8.0
0,0,1765935009.0,2,0,2,3,5,4,5,1,2,0,81.0
0,0,1744130850.0,3,0,3,0,5,1,4,16,1,0,153.0
0,0,1767358340.0,1,0,1,3,1,10,0,12,4,0,87.0
0,0,1772455577.0,0,0,0,4,6,2,8,12,0,0,4.0
0,0,1738927973.0,3,0,3,1,1,10,8,11,4,0,209.0
0,0,1757432931.0,2,0,2,1,2,2,5,15,1,0,66.0
0,0,1753931675.0,3,0,3,4,5,4,8,3,3,0,105.0
0,0,1737042212.0,3,0,3,4,4,1,9,15,3,0,32.0
0,0,1739159686.0,0,0,0,4,3,1,5,3,0,0,5.0
0,0,1737628921.0,0,0,0,4,2,2,8,10,3,0,56.0
0,0,1742709973.0,1,0,1,3,6,0,9,6,6,1,91.0
0,0,1761775476.0,1,0,1,2,5,6,9,22,2,0,10.0
0,0,1766675259.0,0,0,0,0,4,0,9,15,3,0,113.0
0,0,1737708825.0,2,0,2,1,5,2,8,8,4,0,203.0
7,0,1756070972.0,2,1,2,2,3,1,8,21,6,1,7.0
0,0,1770057007.0,2,0,2,0,4,2,5,18,0,0,157.0
0,0,1752423466.0,1,0,1,4,1,3,5,16,6,1,178.0
0,0,1758077379.0,1,0,1,4,2,1,0,2,2,0,53.0
0,0,1770129705.0,1,0,1,2,4,11,8,14,1,0,119.0
0,0,1761536249.0,0,0,0,5,4,2,0,3,0,0,133.0
0,0,1755659028.0,0,0,0,3,4,4,4,3,2,0,74.0
0,0,1763061805.0,0,0,0,1,4,4,5,19,3,0,12.0
0,0,1752627450.0,3,0,3,0,1,1,4,0,2,0,95.0
0,0,1760818092.0,0,0,0,1,5,0,0,20,5,1,214.0
0,0,1766557884.0,2,0,2,1,3,4,8,6,2,0,119.0
0,0,1770412913.0,3,0,3,2,1,3,9,21,4,0,35.0
7,0,1765149934.0,3,1,3,0,6,0,5,23,6,1,151.0
0,0,1760909394.0,2,0,2,4,3,10,4,21,6,1,174.0
0,0,1755117866.0,0,0,0,2,3,1,9,20,2,0,105.0
0,0,1742463212.0,1,0,1,2,2,1,4,9,3,0,137.0
0,0,1745926930.0,2,0,2,1,6,11,0,11,1,0,119.0
0,0,1770647334.0,2,0,2,0,6,0,8,14,0,0,5.0
0,0,1755342762.0,2,0,2,3,6,10,5,11,5,1,150.0
0,0,1761303736.0,0,0,0,5,4,3,9,11,4,0,13.0
0,0,1751087713.0,0,0,0,0,1,1,5,5,5,1,19.0
0,0,1759832460.0,1,0,1,3,2,3,5,10,1,0,27.0
0,0,1753276028.0,3,0,3,3,1,3,8,13,2,0,193.0
0,0,1738008006.0,0,0,0,3,6,1,4,20,0,0,218.0
0,0,1742218219.0,1,0,1,4,4,10,8,13,0,0,103.0
0,0,1764439968.0,3,0,3,3,4,3,9,18,5,1,123.0
0,0,1740068101.0,1,0,1,3,4,10,8,16,3,0,5.0
0,0,1754673935.0,1,0,1,1,1,3,4,17,4,0,153.0
0,0,1747620494.0,1,0,1,0,6,6,8,2,0,0,156.0
0,0,1743456654.0,0,0,0,2,5,5,8,21,0,0,160.0
0,0,1749787542.0,3,0,3,1,5,2,5,4,4,0,55.0
0,0,1746384381.0,0,0,0,3,6,10,9,18,6,1,77.0
0,0,1750762168.0,1,0,1,5,2,3,8,10,1,0,144.0
0,0,1759020215.0,0,0,0,5,6,3,9,0,6,1,225.0
7,0,1750227515.0,1,1,1,4,2,10,0,6,2,0,236.0
0,0,1753349929.0,2,0,2,4,5,6,5,9,3,0,189.0
0,0,1761711195.0,0,0,0,5,2,3,9,4,2,0,7.0
0,0,1740205081.0,2,0,2,4,2,1,5,6,5,1,231.0
0,0,1748814221.0,0,0,0,3,5,4,9,21,6,1,204.0
0,0,1741011890.0,2,0,2,4,5,2,8,14,0,0,56.0
0,0,1759737294.0,3,0,3,4,3,2,8,7,0,0,205.0
0,0,1760527970.0,1,0,1,2,4,1,4,11,2,0,13.0
0,0,1770500059.0,3,0,3,3,1,2,5,21,5,1,148.0
0,0,1741326535.0,3,0,3,3,6,0,8,5,4,0,210.0
0,0,1766713651.0,2,0,2,5,2,10,4,1,4,0,56.0
0,0,1763974027.0,1,0,1,0,6,2,5,8,0,0,229.0
0,0,1758991671.0,2,0,2,4,3,6,9,16,5,1,153.0
0,0,1757207242.0,0,0,0,5,5,6,9,1,6,1,172.0
0,0,1756494103.0,0,0,0,3,1,10,0,19,4,0,225.0
0,0,1770772590.0,3,0,3,1,5,6,8,1,2,0,9.0
0,0,1758815468.0,2,0,2,3,6,3,9,15,3,0,198.0
0,0,1753480027.0,1,0,1,3,2,2,4,21,4,0,233.0
0,0,1757632226.0,2,0,2,2,4,6,4,23,3,0,228.0
0,0,1758133953.0,1,0,1,5,2,2,0,18,2,0,163.0
0,0,1737348675.0,2,0,2,2,3,6,5,4,0,0,21.0
0,0,1756960750.0,1,0,1,5,2,3,9,4,3,0,107.0
0,0,1750565126.0,0,0,0,3,1,11,4,4,6,1,177.0
0,0,1748075707.0,2,0,2,0,5,1,4,8,5,1,124.0
7,0,1768039891.0,2,1,2,5,2,2,0,10,5,1,34.0
0,0,1746948957.0,3,0,3,2,4,3,4,7,6,1,173.0
0,0,1746287673.0,0,0,0,1,3,2,0,15,5,1,166.0
0,0,1744057084.0,1,0,1,3,3,3,0,20,0,0,171.0
0,0,1765223871.0,1,0,1,2,6,0,0,19,0,0,123.0
0,0,1760125132.0,2,0,2,4,5,2,5,19,4,0,183.0
0,0,1758135842.0,1,0,1,4,6,2,8,19,2,0,15.0
0,0,1770985014.0,1,0,1,3,4,5,8,12,4,0,59.0
0,0,1738870208.0,2,0,2,0,6,0,4,19,3,0,32.0
0,0,1766960840.0,2,0,2,1,5,3,4,22,6,1,91.0
0,0,1738600526.0,1,0,1,3,4,1,5,16,0,0,140.0
0,0,1745249827.0,3,0,3,0,6,6,5,15,0,0,28.0
0,0,1745025288.0,1,0,1,2,6,3,5,1,5,1,147.0
0,0,1755999442.0,3,0,3,3,2,4,4,1,6,1,19.0
0,0,1746921855.0,3,0,3,3,3,0,0,0,6,1,53.0
0,0,1771347031.0,0,0,0,1,6,3,0,16,1,0,168.0
0,0,1771335701.0,3,0,3,4,6,2,9,13,1,0,164.0
0,0,1736712641.0,0,0,0,5,6,2,9,20,6,1,38.0
0,0,1768499336.0,1,0,1,4,6,10,8,17,3,0,154.0
0,0,1743803330.0,2,0,2,1,5,11,9,21,4,0,236.0
0,0,1770210188.0,3,0,3,3,3,2,9,13,2,0,71.0
0,0,1740897394.0,3,0,3,0,5,10,9,6,6,1,164.0
0,0,1749039059.0,3,0,3,0,6,2,0,12,2,0,103.0
0,0,1744713909.0,1,0,1,2,6,6,5,10,1,0,44.0
0,0,1740126842.0,0,0,0,1,2,1,9,8,4,0,195.0
0,0,1771869894.0,2,0,2,5,2,4,4,18,0,0,232.0
0,0,1748316791.0,3,0,3,2,6,5,4,3,1,0,218.0
0,0,1769122766.0,3,0,3,1,3,10,5,22,3,0,60.0
0,0,1748434190.0,0,0,0,3,4,10,0,12,2,0,215.0
0,0,1768789761.0,3,0,3,5,4,0,4,2,0,0,51.0
0,0,1743967795.0,1,0,1,4,5,3,0,19,6,1,130.0
0,0,1742547356.0,0,0,0,5,5,1,0,8,4,0,152.0
0,0,1769751853.0,3,0,3,5,1,4,4,5,4,0,230.0
0,0,1744074743.0,3,0,3,0,3,11,5,1,1,0,150.0
0,0,1749631861.0,3,0,3,1,3,2,4,8,2,0,34.0
0,0,1746604989.0,3,0,3,4,5,1,9,8,2,0,148.0
0,0,1749404458.0,0,0,0,2,6,6,0,17,6,1,58.0
0,0,1747016050.0,1,0,1,3,2,10,5,2,0,0,40.0
0,0,1755440537.0,2,0,2,0,1,1,9,14,6,1,140.0
7,0,1768151710.0,0,1,0,0,2,2,4,17,6,1,17.0
0,0,1741733507.0,2,0,2,3,5,1,8,22,1,0,44.0
0,0,1753462272.0,1,0,1,0,2,2,4,16,4,0,14.0
0,0,1766503842.0,1,0,1,0,4,2,5,15,1,0,119.0
0,0,1769585117.0,2,0,2,0,6,2,0,7,2,0,54.0
0,0,1755051794.0,0,0,0,4,1,0,4,2,2,0,152.0
0,0,1760395250.0,2,0,2,3,3,2,9,22,0,0,113.0
0,0,1770043961.0,2,0,2,3,3,10,4,14,0,0,78.0
